id,Ki [nM]
CHEMBL86206,34.0
CHEMBL150704,1380.0
CHEMBL494491,7900.0
CHEMBL494717,5800.0
CHEMBL1213784,13.66
CHEMBL1213785,25.43
CHEMBL494698,2400.0
CHEMBL81,0.37
CHEMBL155510,560.0
CHEMBL335884,13.0
CHEMBL216355,14.5
CHEMBL278936,700.0
CHEMBL491235,977.0
CHEMBL358890,2400.0
CHEMBL189178,51.0
CHEMBL197080,2.1
CHEMBL296411,261.0
CHEMBL464360,5700.0
CHEMBL432371,3.8
CHEMBL56198,0.6
CHEMBL153303,1000.0
CHEMBL236086,11.45
CHEMBL490197,60.0
CHEMBL234639,41.0
CHEMBL292573,180.0
CHEMBL60909,2000.0
CHEMBL234633,65.0
CHEMBL236720,43.8
CHEMBL234637,40.0
CHEMBL383372,184.0
CHEMBL390021,0.18
CHEMBL58486,210.0
CHEMBL59146,29.0
CHEMBL411,0.3755
CHEMBL372526,59.0
CHEMBL394338,147.0
CHEMBL158017,49000.0
CHEMBL293599,170.0
CHEMBL150466,570.0
CHEMBL491433,52.0
CHEMBL31738,290.0
CHEMBL150279,380.0
CHEMBL294710,650.0
CHEMBL153709,200.0
CHEMBL59438,310.0
CHEMBL293297,2.5
CHEMBL30996,8.69
CHEMBL524104,692.0
CHEMBL418971,649.0
CHEMBL58714,20.0
CHEMBL59552,620.0
CHEMBL153359,570.0
CHEMBL2112892,2275.0
CHEMBL152993,270.0
CHEMBL495337,1700.0
CHEMBL236718,8.35
CHEMBL59311,37.0
CHEMBL193482,0.483
CHEMBL492875,8400.0
CHEMBL83,31.19
CHEMBL56166,88.0
CHEMBL244205,0.24
CHEMBL381645,1.7
CHEMBL244207,1.03
CHEMBL244206,0.2
CHEMBL138544,23.0
CHEMBL135732,4.0
CHEMBL179243,136.0
CHEMBL335328,24.0
CHEMBL451143,7200.0
CHEMBL131163,2.2
CHEMBL522823,2500.0
CHEMBL493097,16000.0
CHEMBL489585,2.0
CHEMBL149803,1140.0
CHEMBL236495,32000.0
CHEMBL61026,830.0
CHEMBL380565,0.67
CHEMBL954,1.3
CHEMBL346215,680.0
CHEMBL489584,28.0
CHEMBL392906,7100.0
CHEMBL356852,3240.0
CHEMBL235829,12.4
CHEMBL235828,410.0
CHEMBL1276308,6754.0
CHEMBL56390,0.9
CHEMBL364368,34.0
CHEMBL278703,2.69
CHEMBL491236,158.0
CHEMBL57875,490.0
CHEMBL493702,7500.0
CHEMBL153115,200.0
CHEMBL152916,1000.0
CHEMBL393340,12000.0
CHEMBL152913,830.0
CHEMBL489,0.32
CHEMBL316003,75.0
CHEMBL1087884,29000.0
CHEMBL364442,24.0
CHEMBL153062,108.0
CHEMBL153765,1420.0
CHEMBL135236,8.0
CHEMBL494493,5800.0
CHEMBL494492,7200.0
CHEMBL234638,0.35
CHEMBL128227,0.47
CHEMBL234462,2.88
CHEMBL234463,6.11
CHEMBL234460,126.0
CHEMBL128654,1.1
CHEMBL175525,380.8
CHEMBL153211,5130.0
CHEMBL57093,70.0
CHEMBL1800984,2300.0
CHEMBL391532,7.2
CHEMBL405154,310.0
CHEMBL493490,7500.0
CHEMBL135,2.0
CHEMBL191066,2222.0
CHEMBL60538,1.7
CHEMBL8145,1800.0
CHEMBL185355,3333.0
CHEMBL399832,2.82
CHEMBL26865,8.5
CHEMBL489183,55.0
CHEMBL1162,231.0
CHEMBL59184,380.0
CHEMBL1800985,5500.0
CHEMBL495326,2400.0
CHEMBL298398,310.0
CHEMBL346401,415.0
CHEMBL58449,450.0
CHEMBL1405,2.19
CHEMBL1479,5083.0
CHEMBL282575,18.0
CHEMBL473801,26300.0
CHEMBL58688,0.6
CHEMBL315475,2.5
CHEMBL315474,0.36
CHEMBL195437,7907.0
CHEMBL426073,26.0
CHEMBL243970,0.091
CHEMBL236045,3.3
CHEMBL59271,1260.0
CHEMBL150503,6870.0
CHEMBL494706,5700.0
CHEMBL346455,160.0
CHEMBL12987,0.28
CHEMBL56306,1.1
CHEMBL10041,0.5
CHEMBL58563,160.0
CHEMBL1201151,5.22
CHEMBL1213617,2.0
CHEMBL58504,660.0
CHEMBL135180,10.0
CHEMBL244000,0.32
CHEMBL691,0.128
CHEMBL314561,32.0
CHEMBL33889,490.0
CHEMBL393390,198.0
CHEMBL198499,4.2
CHEMBL31068,210.0
CHEMBL130030,3.7
CHEMBL319244,2260.0
CHEMBL523138,724.0
CHEMBL85561,60.0
CHEMBL31089,120.0
CHEMBL428926,1.89
CHEMBL1200324,32.0
CHEMBL1087252,4200.0
CHEMBL495135,7600.0
CHEMBL58330,130.0
CHEMBL335465,0.15
CHEMBL370403,7.3
CHEMBL494121,4100.0
CHEMBL285483,3.9
CHEMBL391046,7900.0
CHEMBL2103774,123.8
CHEMBL397775,267.0
CHEMBL490198,4.0
CHEMBL311636,132.0
CHEMBL390020,0.21
CHEMBL289277,770.0
CHEMBL153395,1240.0
CHEMBL1200623,320.0
CHEMBL484451,10000.0
CHEMBL165,785.0
CHEMBL243999,0.24
CHEMBL1628190,41.5
CHEMBL154988,145.0
CHEMBL153405,300.0
CHEMBL514646,15000.0
CHEMBL150356,2370.0
CHEMBL235386,27.2
