id,Position 1,Position 2,Position 7,Position 8,Position 12,Position 13,Position 14
CHEMBL1096975,[1*]O,,,,,[13*]O,[14*]C
CHEMBL1098710,[1*]O,,,,,[13*]O,[14*]C
CHEMBL597498,[1*]O,,,,,[13*]O,[14*]C
CHEMBL425194,[1*]O,[2*]OC,,,,[13*]=O,[14*]C
CHEMBL1405,[1*]O,,,,,[13*]=O,[14*]C
CHEMBL1628029,[1*]O,,,[8*]CCC[C@H](C)CCC[C@H](C)CCCC(C)C,,[13*]O,[14*]C
CHEMBL1097284,[1*]O,,,,,[13*]O,[14*]C
CHEMBL193482,[1*]O,,,,[12*]O,[13*]O,[14*]C
CHEMBL691,[1*]O,,,,,[13*]ChashC,[14*]C
CHEMBL1628199,[1*]O,,[7*]=O,[8*]SCCCCCCCCCCC(=O)N(C)CCCC,,[13*]O,[14*]C
CHEMBL1628170,[1*]O,,,[8*]Sc1ccc(/C=C/C(=O)O)cc1,,[13*]O,[14*]C
CHEMBL1627353,[1*]O,,[7*]O,[8*]Sc1ccc(Br)cc1,,[13*]O,[14*]C
CHEMBL1627351,[1*]O,,[7*]O,[8*]SCCCCCCCCCCC(=O)N(C)CCCC,,[13*]O,[14*]C
CHEMBL1627356,[1*]O,,,[8*]Sc1ccc(/C=C/C(=O)N(C)C)cc1,,[13*]O,[14*]C
CHEMBL1627354,[1*]O,,,[8*]SCCCCCCCCCCC(=O)N(C)CCCC,,[13*]O,[14*]C
CHEMBL3099429,[1*]O,,,,,[13*]C(=O)OCCC,[14*]C
CHEMBL1201151,[1*]OC,,,,,[13*]ChashC,[14*]C
CHEMBL1098709,[1*]O,,,,,[13*]O,[14*]C
CHEMBL1358,[1*]O,,,[8*]CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F,,[13*]O,[14*]C
CHEMBL1094732,[1*]O,,,,,[13*]O,[14*]C
CHEMBL1818254,[1*]O,,,[8*]CCCCCCNC(=O)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)CCS(C)(=O)=O)cn2C)cn1C,,[13*]O,[14*]C
CHEMBL135,[1*]O,,,,,[13*]O,[14*]C
CHEMBL2441818,[1*]OC,[2*]C=O,,,,[13*]OC(C)=O,[14*]C
CHEMBL2441819,[1*]OC,[2*]CCC(=O)c1ccc(O)c(OC)c1,,,,[13*]O,[14*]C
CHEMBL2441817,[1*]OC,,,,,[13*]OC(C)=O,[14*]C
CHEMBL1097377,[1*]O,,,,,[13*]c1ccc2c(c1)COC2,[14*]C
CHEMBL282575,[1*]OC(=O)c1ccccc1,,,,,[13*]O,[14*]C
CHEMBL3099431,[1*]O,,,,,[13*]OC(C)C[C@@H]([13*])C,[14*]C
