steroidid,LogP,Molecular Weight,Aromatic Rings
13736,2.788,286.157,1
13738,3.829,314.188,1
13548,4.45,330.219,0
7889,5.744,392.235,1
10701,5.209,472.228,1
8041,4.5,312.209,0
10385,3.815,290.225,0
10382,4.333,300.209,0
10388,4.294,256.183,0
8165,4.4,356.199,1
8547,4.162,330.219,0
8497,4.04,370.178,1
13877,3.579,370.178,1
9537,3.671,290.225,0
10409,7.009,431.413,0
10396,7.207,370.324,0
10399,2.332,294.219,0
8156,3.674,314.225,0
8622,3.579,370.178,1
13841,0.245,450.225,1
13843,3.523,286.157,1
13847,3.932,308.178,1
13849,3.371,372.194,1
13848,4.411,390.083,1
8029,5.096,490.329,0
9965,4.299,318.219,0
9968,5.266,454.172,0
13527,4.912,402.241,0
7904,4.53,332.235,0
13458,4.534,442.197,0
13459,9.926,514.439,0
10369,3.449,408.288,0
10368,5.58,386.282,0
13659,1.834,504.236,1
10367,7.237,542.307,1
10504,3.722,372.194,1
10410,3.569,276.209,0
11107,5.006,356.235,0
13852,3.956,312.173,1
13853,3.371,372.194,1
13850,2.58,288.173,1
13851,2.58,288.173,1
13856,4.48,354.183,1
13854,2.58,288.173,1
13855,3.579,370.178,1
13858,3.609,272.178,1
11030,4.761,330.256,0
8037,5.123,376.204,2
10313,5.09,288.245,0
13709,3.593,268.146,1
7833,6.114,388.334,0
13463,3.879,288.209,0
10374,5.114,328.24,0
10372,7.106,528.36,2
10373,4.333,300.209,0
10370,4.478,392.293,0
13862,4.48,354.183,1
11004,4.632,346.251,0
8026,3.609,272.178,1
8024,4.325,358.251,0
13883,2.58,288.173,1
13505,4.813,374.246,0
10442,4.695,402.277,0
9560,4.347,374.246,0
9707,4.608,344.235,0
13878,2.8,330.183,1
13879,2.788,286.157,1
13873,3.752,314.168,1
13876,1.526,448.21,1
10457,3.591,288.209,0
10456,3.815,290.225,0
8475,2.58,288.173,1
10431,5.596,390.313,0
9957,5.351,318.256,0
10354,4.686,390.277,0
10355,6.496,558.302,1
13839,3.385,270.162,1
10756,4.061,304.24,0
10532,3.767,290.225,0
14054,2.836,372.101,1
14031,3.085,352.134,1
11099,5.527,389.329,0
10320,4.192,432.251,0
10322,8.05,464.265,0
10327,5.62,418.345,0
10326,7.592,524.39,0
10329,6.406,403.381,0
14048,3.579,370.178,1
7943,4.818,316.24,0
10251,2.747,348.23,0
10256,3.292,334.298,0
11072,6.107,436.261,1
13783,5.059,388.261,0
9808,5.694,418.214,2
9806,5.266,454.172,0
14045,4.176,354.183,1
10452,6.197,472.161,1
13420,5.529,404.293,0
10333,7.149,380.308,0
10330,6.406,403.381,0
10339,2.956,288.173,0
7905,5.794,416.329,0
14037,1.598,390.111,1
14039,4.176,354.183,1
10796,5.331,374.188,2
10584,3.879,288.209,0
10248,5.526,374.366,0
8934,3.613,296.178,1
11459,4.117,346.251,0
8244,3.957,288.153,1
8640,4.525,354.183,1
10305,3.726,315.147,1
10907,3.527,290.225,0
10309,4.562,317.272,0
10301,3.389,304.147,1
14028,3.941,414.204,1
9057,3.249,286.157,1
8782,4.709,418.272,0
14019,4.14,318.219,0
8651,5.331,374.188,2
13926,3.569,276.209,0
13696,4.04,370.178,1
13699,2.22,302.152,1
13740,4.411,390.083,1
10343,4.478,392.293,0
10318,7.373,382.324,0
10319,6.438,412.298,0
10310,2.58,288.173,1
10316,4.737,360.265,0
14050,3.579,370.178,1
14053,4.492,478.143,2
10262,3.47,376.309,0
10264,5.214,435.277,1
10266,4.232,286.193,0
10461,3.879,288.209,0
13914,4.405,318.256,0
10673,5.571,418.345,0
10295,1.526,448.21,1
10453,4.909,354.256,0
11182,6.36,402.35,0
14042,1.551,304.167,1
10133,3.219,258.162,1
10036,3.542,306.219,0
8023,3.754,316.24,0
13481,3.447,288.209,0
10280,4.476,272.214,0
9662,2.788,286.157,1
10590,4.242,332.235,0
10598,4.333,380.135,0
8378,4.061,304.24,0
13711,2.645,388.189,1
9895,5.344,458.303,0
11418,4.242,332.235,0
13918,3.284,300.209,0
9098,4.059,374.244,0
10344,4.566,406.308,0
10549,5.819,416.199,2
8179,4.242,332.235,0
13662,4.18,314.188,1
13665,4.037,312.173,1
11393,3.607,304.24,0
13700,3.722,372.194,1
9661,3.613,296.178,1
9668,3.579,370.178,1
13551,2.852,304.204,0
13555,4.632,346.251,0
13554,4.141,306.256,0
7892,3.085,352.134,1
7890,3.829,314.188,1
10420,4.598,248.214,0
9312,4.45,330.219,0
8957,4.938,372.23,0
10556,3.744,432.251,0
10314,4.063,340.204,0
10315,4.146,333.267,0
10317,7.373,382.324,0
