"Distillery","Body","Sweetness","Smoky","Medicinal","Tobacco","Honey","Spicy","Winey","Nutty","Malty","Fruity","Floral"
"Aberfeldy",2,2,2,0,0,2,1,2,2,2,2,2
"Aberlour",3,3,1,0,0,4,3,2,2,3,3,2
"AnCnoc",1,3,2,0,0,2,0,0,2,2,3,2
"Ardberg",4,1,4,4,0,0,2,0,1,2,1,0
"Ardmore",2,2,2,0,0,1,1,1,2,3,1,1
"Arran Malt",2,3,1,1,0,1,1,1,0,1,1,2
"Auchentoshan",0,2,0,0,0,1,1,0,2,2,3,3
"Auchroisk",2,3,1,0,0,2,1,2,2,2,2,1
"Aultmore",2,2,1,0,0,1,0,0,2,2,2,2
"Balblair",2,3,2,1,0,0,2,0,2,1,2,1
"Balmenach",4,3,2,0,0,2,1,3,3,0,1,2
"Belvenie",3,2,1,0,0,3,2,1,0,2,2,2
"Ben Nevis",4,2,2,0,0,2,2,0,2,2,2,2
"BenRiach",2,2,1,0,0,2,2,0,0,2,3,2
"Benrinnes",3,2,2,0,0,3,1,1,2,3,2,2
"Benromach",2,2,2,0,0,2,2,1,2,2,2,2
"Bladnoch",1,2,1,0,0,0,1,1,0,2,2,3
"BlairAthol",2,2,2,0,0,1,2,2,2,2,2,2
"Bowmore",2,2,3,1,0,2,2,1,1,1,1,2
"Bruichladdich",1,1,2,2,0,2,2,1,2,2,2,2
"Bunnahabhain",1,2,1,1,0,1,1,1,1,2,2,3
"Caol Ila",3,1,4,2,1,0,2,0,2,1,1,1
"Cardhu",1,3,1,0,0,1,1,0,2,2,2,2
"Clynelish",3,2,3,3,1,0,2,0,1,1,2,0
"Craigallechie",2,2,2,0,1,2,2,1,2,2,1,4
"Cragganmore",2,3,2,1,0,0,1,0,2,2,2,2
"Dailuaine",4,2,2,0,0,1,2,2,2,2,2,1
"Dalmore",3,2,2,1,0,1,2,2,1,2,3,1
"Dalwhinnie",2,2,2,0,0,2,1,0,1,2,2,2
"Deanston",2,2,1,0,0,2,1,1,1,3,2,1
"Dufftown",2,3,1,1,0,0,0,0,1,2,2,2
"Edradour",2,3,1,0,0,2,1,1,4,2,2,2
"Glen Deveron Macduff",2,3,1,1,1,1,1,2,0,2,0,1
"GlenElgin",2,3,1,0,0,2,1,1,1,1,2,3
"Glen Garioch",2,1,3,0,0,0,3,1,0,2,2,2
"Glen Grant",1,2,0,0,0,1,0,1,2,1,2,1
"Glen Keith",2,3,1,0,0,1,2,1,2,1,2,1
"Glen Moray",1,2,1,0,0,1,2,1,2,2,2,4
"Glen Ord",3,2,1,0,0,1,2,1,1,2,2,2
"Glen Scotia",2,2,2,2,0,1,0,1,2,2,1,1
"Glen Spey",1,3,1,0,0,0,1,1,1,2,0,2
"Glenallachie",1,3,1,0,0,1,1,0,1,2,2,2
"Glendronach",4,2,2,0,0,2,1,4,2,2,2,0
"Glendullan",3,2,1,0,0,2,1,2,1,2,3,2
"Glenfarclas",2,4,1,0,0,1,2,3,2,3,2,2
"Glenfiddich",1,3,1,0,0,0,0,0,0,2,2,2
"Glengoyne",1,2,0,0,0,1,1,1,2,2,3,2
"Glenkinchie",1,2,1,0,0,1,2,0,0,2,2,2
"Glenlivet",2,3,1,0,0,2,2,2,1,2,2,3
"Glenlossie",1,2,1,0,0,1,2,0,1,2,2,2
"Glenmorangie",2,2,1,1,0,1,2,0,2,1,2,2
"Glenrothes",2,3,1,0,0,1,1,2,1,2,2,0
"Glenturret",2,3,1,0,0,2,2,2,2,2,1,2
"Highland Park",2,2,3,1,0,2,1,1,1,2,1,1
"Inchgower",1,3,1,1,0,2,2,0,1,2,1,2
"Jura",2,1,2,2,0,1,1,0,2,1,1,1
"Knockando",2,3,1,0,0,2,2,1,2,1,2,2
"Lagavulin",4,1,4,4,1,0,1,2,1,1,1,0
"Laphroaig",4,2,4,4,1,0,0,1,1,1,0,0
"Linkwood",2,3,1,0,0,1,1,2,0,1,3,2
"Loch Lomond",1,1,1,1,0,1,1,0,1,2,1,2
"Longmorn",3,2,1,0,0,1,1,1,3,3,2,3
"Macallan",4,3,1,0,0,2,1,4,2,2,3,1
"Mannochmore",2,1,1,0,0,1,1,1,2,1,2,2
"Miltonduff",2,4,1,0,0,1,0,0,2,1,1,2
"Mortlach",3,2,2,0,0,2,3,3,2,1,2,2
"Oban",2,2,2,2,0,0,2,0,2,2,2,0
"Old Fettercairn",1,2,2,0,1,2,2,1,2,3,1,1
"Old Pulteney",2,1,2,2,1,0,1,1,2,2,2,2
"Royal Brackla",2,3,2,1,1,1,2,1,0,2,3,2
"Royal Lochnagar",3,2,2,0,0,2,2,2,2,2,3,1
"Scapa",2,2,1,1,0,2,1,1,2,2,2,2
"Speyburn",2,4,1,0,0,2,1,0,0,2,1,2
"Speyside",2,2,1,0,0,1,0,1,2,2,2,2
"Springbank",2,2,2,2,0,2,2,1,2,1,0,1
"Strathisla",2,2,1,0,0,2,2,2,3,3,3,2
"Strathmill",2,3,1,0,0,0,2,0,2,1,3,2
"Talisker",4,2,3,3,0,1,3,0,1,2,2,0
"Tamdhu",1,2,1,0,0,2,0,1,1,2,2,2
"Tamnavulin",1,3,2,0,0,0,2,0,2,1,2,3
"Teaninich",2,2,2,1,0,0,2,0,0,0,2,2
"Tobermory",1,1,1,0,0,1,0,0,1,2,2,2
"Tomatin",2,3,2,0,0,2,2,1,1,2,0,1
"Tomintoul",0,3,1,0,0,2,2,1,1,2,1,2
"Tormore",2,2,1,0,0,1,0,1,2,1,0,0
"Tullibardine",2,3,0,0,1,0,2,1,1,2,2,1
