 Latitude, Longitude
286580,749680
326340,842570
352960,839320
141560,646220
355350,829140
194050,649950
247670,672610
340754,848623
340754,848623
270820,885770
307750,827170
332680,840840
212600,775710
323450,858380
325800,839920
303330,859350
242260,554260
294860,757580
131330,659720
126680,661400
142210,673170
142920,670040
318790,843090
290250,904230
328920,844920
316600,836370
323520,841010
266610,868730
263670,785270
271570,701570
332360,839200
295960,757940
372120,860400
322640,861040
381020,827590
327610,849570
340754,848623
319820,862320
251810,850860
172090,621010
327760,849140
326490,841240
361200,844930
333000,840300
320950,838160
332680,840840
252810,682750
344380,666690
319560,828780
322640,861040
276750,883450
327650,849170
285630,723580
345340,1009260
342610,863970
152660,667040
319470,841570
140430,645730
138680,645160
322640,861040
239370,680920
322640,861040
327710,844480
322640,861040
322640,861040
332950,839850
185940,730190
370860,772900
336730,950130
286040,851320
326140,794370
342850,1008930
326930,851430
278740,800600
172280,620910
340754,848623
342650,850500
137950,831770
319210,841760
321180,826110
265360,869120
150450,755070
279120,829630
315100,825560
315180,834960
289690,708850
